Player,NBA.Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,TeamID
Archie Goodwin,Oklahoma City Thunder,Kentucky,2013,1,29,29,1246
Brandon Knight,Detroit Pistons,Kentucky,2011,1,8,8,1246
Dakari Johnson,Oklahoma City Thunder,Kentucky,2015,2,18,48,1246
Daniel Orton,Orlando Magic,Kentucky,2010,1,29,29,1246
Darius Miller,New Orleans Hornets,Kentucky,2012,2,16,46,1246
DeAndre Liggins,Orlando Magic,Kentucky,2011,2,23,53,1246
DeMarcus Cousins,Sacramento Kings,Kentucky,2010,1,5,5,1246
Devin Booker,Phoenix Suns,Kentucky,2015,1,13,13,1246
Doron Lamb,Milwaukee Bucks,Kentucky,2012,2,12,42,1246
Enes Kanter,Utah Jazz,Kentucky,2011,1,3,3,1246
Eric Bledsoe,Oklahoma City Thunder,Kentucky,2010,1,18,18,1246
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7,1246
James Young,Boston Celtics,Kentucky,2014,1,17,17,1246
Jodie Meeks,Milwaukee Bucks,Kentucky,2009,2,11,41,1246
Joe Crawford,Los Angeles Lakers,Kentucky,2008,2,28,58,1246
John Wall,Washington Wizards,Kentucky,2010,1,1,1,1246
Josh Harrellson,New Orleans Hornets,Kentucky,2011,2,15,45,1246
Julius Randle,Los Angeles Lakers,Kentucky,2014,1,7,7,1246
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1,1,1246
Keith Bogans,Milwaukee Bucks,Kentucky,2003,2,14,43,1246
Marquis Teague,Chicago Bulls,Kentucky,2012,1,29,29,1246
Michael Kidd-Gilchrist,Charlotte Bobcats,Kentucky,2012,1,2,2,1246
Nerlens Noel,New Orleans Pelicans,Kentucky,2013,1,6,6,1246
Patrick Patterson,Houston Rockets,Kentucky,2010,1,14,14,1246
Rajon Rondo,Phoenix Suns,Kentucky,2006,1,21,21,1246
Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28,28,1246
Tayshaun Prince,Detroit Pistons,Kentucky,2002,1,23,23,1246
Terrence Jones,Houston Rockets,Kentucky,2012,1,18,18,1246
Trey Lyles,Utah Jazz,Kentucky,2015,1,12,12,1246
Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4,34,1246
Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6,6,1246
Rasual Butler,Miami Heat,La Salle,2002,2,24,52,1247
CJ McCollum,Portland Trail Blazers,Lehigh,2013,1,10,10,1250
James Ennis III,Atlanta Hawks,Long Beach State,2013,2,20,50,1253
Magnum Rolle,Oklahoma City Thunder,Louisiana Tech,2010,2,21,51,1256
Paul Millsap,Utah Jazz,Louisiana Tech,2006,2,17,47,1256
Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7,37,1257
Earl Clark,Phoenix Suns,Louisville,2009,1,14,14,1257
Francisco Garcia,Sacramento Kings,Louisville,2005,1,23,23,1257
Gorgui Dieng,Utah Jazz,Louisville,2013,1,21,21,1257
Montrezl Harrell,Houston Rockets,Louisville,2015,2,2,32,1257
Peyton Siva,Detroit Pistons,Louisville,2013,2,26,56,1257
Reece Gaines,Orlando Magic,Louisville,2003,1,15,15,1257
Russ Smith,Philadelphia 76ers,Louisville,2014,2,17,47,1257
Terrence Williams,New Jersey Nets,Louisville,2009,1,11,11,1257
Terry Rozier,Boston Celtics,Louisville,2015,1,16,16,1257
Anthony Randolph,Golden State Warriors,Louisiana State,2008,1,14,14,1261
Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1,1,1261
Brandon Bass,New Orleans/Oklahoma City Hornets,Louisiana State,2005,2,3,33,1261
Glen Davis,Seattle SuperSonics,Louisiana State,2007,2,5,35,1261
Jarell Martin,Memphis Grizzlies,Louisiana State,2015,1,25,25,1261
Johnny O'Bryant III,Milwaukee Bucks,Louisiana State,2014,2,6,36,1261
Jordan Mickey,Boston Celtics,Louisiana State,2015,2,3,33,1261
Justin Hamilton,Philadelphia 76ers,Louisiana State,2012,2,15,45,1261
Marcus Thornton,Miami Heat,Louisiana State,2009,2,13,43,1261
Tyrus Thomas,Portland Trail Blazers,Louisiana State,2006,1,4,4,1261
Luis Flores,Houston Rockets,Manhattan,2004,2,26,55,1264
Jared Jordan,Los Angeles Clippers,Marist,2007,2,15,45,1265
Darius Johnson-Odom,Dallas Mavericks,Marquette,2012,2,25,55,1266
Dwyane Wade,Miami Heat,Marquette,2003,1,5,5,1266
Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18,1266
Jae Crowder,Cleveland Cavaliers,Marquette,2012,2,4,34,1266
Jimmy Butler,Chicago Bulls,Marquette,2011,1,30,30,1266
Lazar Hayward,Washington Wizards,Marquette,2010,1,30,30,1266
Steve Novak,Houston Rockets,Marquette,2006,2,2,32,1266
Travis Diener,Orlando Magic,Marquette,2005,2,8,38,1266
Hassan Whiteside,Sacramento Kings,Marshall,2010,2,3,33,1267
Tamar Slay,New Jersey Nets,Marshall,2002,2,25,53,1267
Alex Len,Phoenix Suns,Maryland,2013,1,5,5,1268
Chris Wilcox,Los Angeles Clippers,Maryland,2002,1,8,8,1268
Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10,40,1268
DJ Strawberry,Phoenix Suns,Maryland,2007,2,29,59,1268
Greivis Vasquez,Memphis Grizzlies,Maryland,2010,1,28,28,1268
Jake Layman,Orlando Magic,Maryland,2016,2,17,47,1268
James Gist,San Antonio Spurs,Maryland,2008,2,27,57,1268
Jordan Williams,New Jersey Nets,Maryland,2011,2,6,36,1268
Juan Dixon,Washington Wizards,Maryland,2002,1,17,17,1268
Lonny Baxter,Chicago Bulls,Maryland,2002,2,15,43,1268
Steve Blake,Washington Wizards,Maryland,2003,2,9,38,1268
Cady Lalanne,San Antonio Spurs,Massachusetts,2015,2,25,55,1269
Stephane Lasme,Golden State Warriors,Massachusetts,2007,2,16,46,1269
Antonio Burks,Orlando Magic,Memphis,2004,2,7,36,1272
Chris Douglas-Roberts,New Jersey Nets,Memphis,2008,2,10,40,1272
Dajuan Wagner,Cleveland Cavaliers,Memphis,2002,1,6,6,1272
Derrick Rose,Chicago Bulls,Memphis,2008,1,1,1,1272
